hole_id,type,comp_no,process_method,pass,mass_g,mass_pct,D80_micron,Fe_pct_XRF,SiO2_pct_XRF,Al2O3_pct_XRF,TiO2_pct_XRF,Mn_pct_XRF,CaO_pct_XRF,P_pct_XRF,S_pct_XRF,MgO_pct_XRF,K2O_pct_XRF,Na2O_pct_XRF,Zn_pct_XRF,As_pct_XRF,Cl_pct_XRF,Cu_pct_XRF,Pb_pct_XRF,Ba_pct_XRF,V_pct_XRF,Cr_pct_XRF,Ni_pct_XRF,Co_pct_XRF,Sn_pct_XRF,Zr_pct_XRF,Sr_pct_XRF,Fe3O4_pct_SATMAGAN,LOI_371_pct,LOI_650_pct,LOI_1000_pct,LOI_total_pct
GVRD0267,DTR Mags, 4,HIG5 DTR,P1,29.779,74.447500000000005,68.287999999999997,63.58,9.811,0.175,0.016,0.094,0.101,0.02,0.004,0.278,0.037,0.006,0.004,5e-4,5e-4,0.002,0.003,0.005,0.003,0.02,0.006,0.002,5e-4,0.001,0.002,81.27,-0.22,0.06,-1.46,-1.62
GVRD0267,DTR Tails, 4,HIG5 DTR,P1,10.221,25.552500000000002,76.721999999999994,22.27,51.41,1.913,0.094,0.648,0.821,0.137,0.079,2.33,0.328,0.04,0.009,0.001,5e-4,0.01,5e-4,0.004,5e-4,0.003,0.004,5e-4,5e-4,0.003,0.006,3.15,0.26,9.23,0.51,10
GVRD0267,Calc Head, 4,HIG5 DTR,P1,40,100,70.443097850000001,53.02426225,20.440584475,0.6191024500000001,0.03593095,0.23556085000000004,0.284978,0.049896425,0.023164375,0.8023373,0.11135777500000002,0.01468785,0.005277625,6.277625000000001e-4,5e-4,0.0040442,0.0023611875,0.004744475000000001,0.0023611875,0.015656075000000002,0.00548895,0.0016167125,5e-4,0.00151105,0.0030221,61.308387,-0.097348,2.40316425,-0.9566157500000001,1.3492005
GVRD0267,Head, 4,HIG5 DTR,P1,NA,NA,71.668000000000006,53.2,19.81,0.649,0.035,0.252,0.308,0.05,0.03,0.871,0.108,0.02,0.002,5e-4,5e-4,5e-4,5e-4,0.002,0.002,0.015,0.006,0.001,0.001,0.002,0.003,61.18,-0.1,2.54,-0.91,1.53
GVRD0267,DTR Mags, 4,HIG5 DTR,P2,27.338000000000001,68.344999999999999,40.701999999999998,66.91,6.165,0.117,0.011,0.057,0.066,0.013,0.004,0.16,0.021,0.004,0.003,5e-4,5e-4,0.001,0.002,0.004,0.003,0.022,0.009,0.001,5e-4,5e-4,0.001,86.58,-0.31,-0.79,-1.24,-2.34
GVRD0267,DTR Tails, 4,HIG5 DTR,P2,12.661999999999999,31.655000000000001,55.104999999999997,21.75,52.18,1.861,0.092,0.64,0.784,0.133,0.073,2.28,0.322,0.042,0.006,0.002,5e-4,0.012,5e-4,0.004,5e-4,0.004,0.003,5e-4,5e-4,0.004,0.006,2.34,0.23,9.16,0.46,9.85
GVRD0267,Calc Head, 4,HIG5 DTR,P2,40,100,45.261269649999996,52.614602,20.73104825,0.6690632000000001,0.03664055,0.24154865,0.2932829,0.050986000000000004,0.02584195,0.831086,0.11628155000000001,0.016028900000000002,0.00394965,9.74825e-4,5e-4,0.0044820500000000004,0.001525175,0.004,0.002208625,0.0163021,0.007100699999999999,8.417250000000001e-4,5e-4,0.001607925,0.0025827500000000004,59.913827999999995,-0.139063,2.3596725000000003,-0.701865,1.5187445000000006
GVRD0267,Head, 4,HIG5 DTR,P2,NA,NA,44.789000000000001,52.77,20.26,0.681,0.038,0.257,0.314,0.051,0.031,0.893,0.112,0.021,0.002,5e-4,5e-4,5e-4,5e-4,5e-4,0.002,0.015,0.005,0.002,5e-4,0.003,0.002,60.61,-0.16,2.52,-0.71,1.65
GVRD0267,DTR Mags, 4,HIG5 DTR,P3,26.570999999999998,66.427499999999995,34.732999999999997,67.76,5.176,0.098,0.01,0.046,0.053,0.009,0.002,0.124,0.019,0.002,0.004,5e-4,5e-4,0.001,0.001,0.004,0.003,0.023,0.008,0.002,5e-4,0.001,0.001,88.1,-0.38,-0.98,-1.22,-2.58
GVRD0267,DTR Tails, 4,HIG5 DTR,P3,13.429000000000002,33.572500000000005,35.734999999999999,21.3,52.8,1.871,0.091,0.65,0.787,0.134,0.073,2.31,0.317,0.045,0.012,0.001,5e-4,0.012,5e-4,0.005,5e-4,0.004,0.003,5e-4,5e-4,0.005,0.006,1.72,0.2,9.16,0.53,9.89
GVRD0267,Calc Head, 4,HIG5 DTR,P3,40,100,35.069396449999999,52.16221650000001,21.1645674,0.693240425,0.037193725000000004,0.24877790000000005,0.29942215000000005,0.05096562500000001,0.025836475000000005,0.8578948500000001,0.11904605000000001,0.016436175,0.0066858,6.678625e-4,5e-4,0.004692975,8.321375e-4,0.004335725,0.0021606875,0.016621225,0.006321375000000001,0.0014964125,5e-4,0.0023429,0.002678625,59.10007449999999,-0.18527949999999996,2.4242515000000004,-0.6324812499999999,1.606490750000001
GVRD0267,Head, 4,HIG5 DTR,P3,NA,NA,34.341999999999999,52.66,20.38,0.683,0.037,0.256,0.317,0.051,0.031,0.896,0.113,0.033,0.002,5e-4,5e-4,5e-4,5e-4,5e-4,0.002,0.015,0.005,0.001,5e-4,0.003,0.003,40.9,-0.21,2.46,-0.6,1.65
GVRD0267,DTR Mags, 4,HIG5 DTR,P4,25.968,64.92,28.800999999999998,69.1,3.596,0.079,0.008,0.032,0.042,0.007,0.002,0.092,0.013,5e-4,0.005,5e-4,5e-4,0.002,0.004,0.003,0.003,0.022,0.007,0.002,5e-4,0.002,0.002,90.75,-0.45,-1.28,-1.07,-2.8
GVRD0267,DTR Tails, 4,HIG5 DTR,P4,14.032,35.08,25.984999999999999,21.21,52.82,1.86,0.093,0.652,0.773,0.133,0.075,2.3,0.309,0.046,0.012,0.001,0.006,0.013,5e-4,0.004,5e-4,0.004,0.003,5e-4,5e-4,0.007,0.006,1.23,0.21,9.23,0.5,9.94
