hole_id,comp_no,process_method,process_phase,mass_kg,mass_pct,Fe_pct_XRF,SiO2_pct_XRF,Al2O3_pct_XRF,TiO2_pct_XRF,Mn_pct_XRF,CaO_pct_XRF,P_pct_XRF,S_pct_XRF,MgO_pct_XRF,K2O_pct_XRF,Na2O_pct_XRF,Zn_pct_XRF,As_pct_XRF,Cl_pct_XRF,Cu_pct_XRF,Pb_pct_XRF,Ba_pct_XRF,V_pct_XRF,Cr_pct_XRF,Ni_pct_XRF,Co_pct_XRF,Sn_pct_XRF,Zr_pct_XRF,Sr_pct_XRF,Fe3O4_pct_SATMAGAN,LOI_371_pct,LOI_650_pct,LOI_1000_pct,LOI_total_pct
GVRD0267,4,LIMS, Mags(calc),57.33,54.599999999999994,53.71,19.32,0.62,3.5999999999999997E-2,0.24399999999999999,0.29699999999999999,4.9000000000000002E-2,2.8000000000000001E-2,0.84399999999999997,0.105,2.5000000000000001E-2,2E-3,5.0000000000000001E-4,1E-3,1E-3,5.0000000000000001E-4,4.0000000000000001E-3,5.0000000000000001E-4,1.4E-2,4.0000000000000001E-3,2E-3,5.0000000000000001E-4,1E-3,6.0000000000000001E-3,62.32,-0.18,2.41,-0.88,1.35
GVRD0267,4,LIMS, Tails,47.67,45.4,21.47,48.53,1.796,7.1999999999999995E-2,0.73799999999999999,1.345,0.151,0.13900000000000001,2.82,0.23100000000000001,0.08,2E-3,5.0000000000000001E-4,5.0000000000000001E-3,1E-3,5.0000000000000001E-4,5.0000000000000001E-4,5.0000000000000001E-4,3.0000000000000001E-3,2E-3,1E-3,5.0000000000000001E-4,5.0000000000000001E-3,8.9999999999999993E-3,1.97,0.16,11.44,0.98,12.58
GVRD0267,4,LIMS,Calc Head,105,100,39.073039999999999,32.581339999999997,1.153904,5.2343999999999988E-2,0.46827599999999991,0.77279199999999992,9.530799999999999E-2,7.8393999999999991E-2,1.7411039999999998,0.16220399999999999,4.9970000000000001E-2,2E-3,5.0000000000000001E-4,2.8160000000000004E-3,1E-3,5.0000000000000001E-4,2.4109999999999999E-3,5.0000000000000001E-4,9.0060000000000001E-3,3.0919999999999997E-3,1.5459999999999998E-3,5.0000000000000001E-4,2.8160000000000004E-3,7.3619999999999996E-3,34.921099999999996,-2.5639999999999993E-2,6.50962,-3.5559999999999974E-2,6.4484199999999996
GVRD0267,4,LIMS,Feed Assay,NA,NA,35.27923327576076,33.27710314987268,1.2178234361923757,5.3896850127312552E-2,0.48290285073271488,0.80039712611954916,9.7143569380887099E-2,8.5482612489093862E-2,1.8042817969765494,0.16450008012677839,5.8129289008386598E-2,2E-3,5.6914050675735829E-4,3.8705329321059101E-3,1.5759512829187517E-3,5.5577714072042883E-4,2.5264151279357559E-3,5.0000000000000001E-4,9.0582432648991292E-3,3.480636028560745E-3,1.0497142144904827E-3,5.0000000000000001E-4,2.5597122558359002E-3,1.0580473994408932E-2,33.010945139865747,3.2851088833888292E-2,6.7094469471697451,-3.7386798668114889E-2,6.7049112373355184
GVRD0267,5,LIMS, Mags(calc),60.899999999999991,52.68166089965397,53.29,20.18,0.84199999999999997,4.2999999999999997E-2,0.21099999999999999,0.29399999999999998,4.8000000000000001E-2,0.04,0.88300000000000001,8.5999999999999993E-2,2.5000000000000001E-2,3.0000000000000001E-3,5.0000000000000001E-4,2E-3,2E-3,1E-3,3.0000000000000001E-3,2E-3,1.9E-2,5.0000000000000001E-3,2E-3,5.0000000000000001E-4,1E-3,8.0000000000000002E-3,62.7,-0.15,2.02,-0.84,1.03
GVRD0267,5,LIMS, Tails,54.7,47.318339100346023,20.16,51.44,2.431,0.10199999999999999,0.61299999999999999,1.2589999999999999,0.14199999999999999,0.216,2.85,0.16500000000000001,4.4999999999999998E-2,2E-3,5.0000000000000001E-4,7.0000000000000001E-3,1E-3,5.0000000000000001E-4,3.0000000000000001E-3,5.0000000000000001E-4,5.0000000000000001E-3,5.0000000000000001E-3,1E-3,5.0000000000000001E-4,5.0000000000000001E-3,1.0999999999999999E-2,1.97,0.2,10.08,0.96,11.24
GVRD0267,5,LIMS,Calc Head,115.6,100,37.613434256055356,34.97171280276816,1.5938884083044982,7.0917820069204149E-2,0.40121972318339105,0.75062197231833905,9.2479238754325246E-2,0.12328027681660898,1.8137517301038062,0.12338148788927335,3.4463667820069203E-2,2.5268166089965393E-3,5.0000000000000001E-4,4.3659169550173006E-3,1.5268166089965397E-3,7.6340830449826984E-4,3.0000000000000001E-3,1.2902249134948097E-3,1.2375432525951555E-2,5.0000000000000001E-3,1.5268166089965397E-3,5.0000000000000001E-4,2.8927335640138406E-3,9.4195501730103791E-3,33.963572664359859,1.5614186851211099E-2,5.8338581314878901,1.1730103806228414E-2,5.8612024221453289
GVRD0267,5,LIMS,Feed Assay,NA,NA,36.97863607415794,35.415784743843759,1.6282044827342201,7.3939145202377585E-2,0.41200601471836967,0.77448161972827623,9.3813596801585075E-2,0.12733280851967169,1.8568359043305975,0.12285968015850553,3.4047109397112946E-2,2.6940984998584773E-3,7.678760968015851E-4,5.6367287008208325E-3,1.0772537503538071E-3,5.3862687517690355E-4,1.6234167138409286E-3,7.9132465326917643E-4,1.2042669119728275E-2,4.5357521936031705E-3,1.6489173506934619E-3,5.0000000000000001E-4,2.6529507500707619E-3,1.0656471129351829E-2,32.591683767336541,6.0388303141805835E-2,6.1252043235210873,-6.7153799886781773E-2,6.1184388267761118
GVRD0267,6,LIMS, Mags(calc),61.959999999999994,56.047037539574852,55.2,18.149999999999999,0.53400000000000003,3.4000000000000002E-2,0.222,0.28399999999999997,4.7E-2,2.5000000000000001E-2,0.77400000000000002,0.105,8.9999999999999993E-3,3.0000000000000001E-3,5.0000000000000001E-4,4.0000000000000001E-3,1E-3,1E-3,6.0000000000000001E-3,2E-3,1.4E-2,5.0000000000000001E-3,2E-3,5.0000000000000001E-4,1E-3,5.0000000000000001E-3,67.25,-0.2,1.77,-0.8,0.77
GVRD0267,6,LIMS, Tails,48.59,43.952962460425148,18.7,53.13,1.5940000000000001,5.8999999999999997E-2,0.79800000000000004,1.355,0.152,0.113,2.86,0.26700000000000002,5.8000000000000003E-2,1E-3,1E-3,6.0000000000000001E-3,5.0000000000000001E-4,5.0000000000000001E-4,4.0000000000000001E-3,5.0000000000000001E-4,2E-3,1E-3,5.0000000000000001E-4,5.0000000000000001E-4,5.0000000000000001E-3,7.0000000000000001E-3,1.84,0.18,10.88,1.08,12.14
