BV_ID,hole_id,test,comp_no,process_phase,grind_P97,Fe3O4_pct_SATMAGAN,Fe_pct_XRF,SiO2_pct_XRF,Al2O3_pct_XRF,TiO2_pct_XRF,Mn_pct_XRF,CaO_pct_XRF,P_pct_XRF,S_pct_XRF,MgO_pct_XRF,K2O_pct_XRF,Na2O_pct_XRF,Zn_pct_XRF,As_pct_XRF,Cl_pct_XRF,C_pct_XRF,Pb_pct_XRF,Ba_pct_XRF,V_pct_XRF,Cr_pct_XRF,Ni_pct_XRF,Co_pct_XRF,Sn_pct_XRF,Zr_pct_XRF,Sr_pct_XRF,LOI371_pct,LOI650_pct,LOI1000_pct,LOI_total_pct,project,Cu_pct_XRF,FeO_titration
44712670001,GVRD0267,DTR,4,Feed,53,27.81,34.61,37.2,1.271,0.06,0.456,0.799,0.109,0.103,1.86,0.142,0.045,0.003,0.001,0.007,-0.001,-0.001,-0.001,-0.001,0.013,0.003,-0.001,-0.001,0.003,0.009,1.06,6.74,-0.02,7.78,4471,NA,NA
44712670002,GVRD0267,DTR,5,Feed,53,26.43,32.79,40.07,1.529,0.064,0.402,0.879,0.116,0.126,1.89,0.107,0.022,0.002,0.001,0.005,0.002,-0.001,-0.001,0.001,0.013,0.002,-0.001,-0.001,0.003,0.009,0.61,6.5,0.05,7.16,4471,NA,NA
44712670003,GVRD0267,DTR,6,Feed,53,26.23,32.32,40.37,1.583,0.066,0.472,0.789,0.102,0.114,2.07,0.15,0.034,0.002,0.002,0.003,0.001,-0.001,-0.001,0.001,0.011,0.001,-0.001,-0.001,0.003,0.009,0.48,6.93,0.04,7.45,4471,NA,NA
44712670004,GVRD0267,DTR,7,Feed,53,25.74,33.45,40.12,0.982,0.038,0.455,0.902,0.116,0.089,1.79,0.133,0.017,0.002,0.002,0.001,0.001,-0.001,-0.001,-0.001,0.009,-0.001,-0.001,-0.001,0.003,0.005,0.45,6.36,0.11,6.92,4471,NA,NA
44712670005,GVRD0267,DTR,8,Feed,53,29.59,33.68,39.97,0.999,0.048,0.447,0.927,0.122,0.064,1.63,0.172,0.016,0.002,0.001,0.003,-0.001,0.001,-0.001,-0.001,0.007,-0.001,-0.001,-0.001,0.003,0.01,0.5,6.17,0.04,6.71,4471,NA,NA
44712670006,GVRD0267,DTR,9,Feed,53,25.05,31.48,40.16,1.6,0.066,0.528,0.726,0.091,0.351,2.29,0.133,0.015,0.003,0.001,0.002,0.001,0.001,-0.001,0.001,0.015,-0.001,-0.001,-0.001,0.004,0.01,0.09,8.41,0.38,8.88,4471,NA,NA
44712670007,GVRD0267,DTR,4,Feed,45,26.92,34.46,37.65,1.301,0.055,0.454,0.773,0.102,0.106,1.83,0.14,0.04,0.003,0.005,0.002,0.001,-0.001,-0.001,-0.001,0.012,-0.001,-0.001,-0.001,0.003,0.008,1.18,6.53,0.05,7.76,4471,NA,NA
44712670008,GVRD0267,DTR,5,Feed,45,26.13,32.93,40.22,1.506,0.069,0.4,0.842,0.108,0.115,1.86,0.1,0.021,0.002,0.002,0.002,-0.001,-0.001,-0.001,0.001,0.011,-0.001,-0.001,-0.001,0.003,0.009,0.87,6.15,0.08,7.1,4471,NA,NA
44712670009,GVRD0267,DTR,6,Feed,45,25.15,31.98,41.04,1.562,0.064,0.469,0.753,0.095,0.121,2.05,0.148,0.021,0.002,0.001,0.003,-0.001,-0.001,-0.001,0.001,0.01,0.003,-0.001,-0.001,0.002,0.006,0.48,6.71,0.1,7.29,4471,NA,NA
44712670010,GVRD0267,DTR,7,Feed,45,25.74,33.61,39.84,0.973,0.039,0.459,0.89,0.117,0.091,1.78,0.134,0.02,0.002,0.001,0.004,0.001,-0.001,-0.001,-0.001,0.012,0.002,-0.001,-0.001,0.003,0.008,0.55,6.35,0.1,7,4471,NA,NA
